City/Town,Ward,Pct,"Clinton/ Kaine","Trump/ Pence","Johnson/ Weld","Stein/ Baraka","Mcmullin/ Johnson","Kotlikoff/ Leamer","Feegbeh/ O'Brien","Moorehead/ Lilly","Schoenke/ Mitchel","All Others","No Preference","Blank Votes","Total Votes Cast"
Granby,-,2,702,890,75,43,2,0,0,0,0,12,0,46,"1,770"
Granville,-,1,335,548,55,20,0,0,0,0,0,0,0,28,986
"Great Barrington",-,A,752,155,34,31,0,0,0,0,0,5,0,9,986
"Great Barrington",-,B,737,187,38,31,0,0,0,0,0,13,0,5,"1,011"
"Great Barrington",-,C,567,89,12,35,0,0,0,0,0,13,0,10,726
"Great Barrington",-,D,824,149,19,31,0,0,0,0,0,7,0,11,"1,041"
Greenfield,-,1,547,280,51,23,0,0,0,0,0,15,0,18,934
Greenfield,-,2,741,341,52,36,0,0,0,0,0,20,0,24,"1,214"
Greenfield,-,3,638,254,36,38,0,0,0,0,0,22,0,10,998
Greenfield,-,4,736,257,43,20,0,0,0,0,0,15,0,21,"1,092"
Greenfield,-,5,718,175,33,49,0,0,0,0,0,31,0,18,"1,024"
Greenfield,-,6,736,154,30,53,0,0,0,0,0,27,0,19,"1,019"
Greenfield,-,7,483,246,54,32,0,0,0,0,0,10,0,22,847
Greenfield,-,8,515,170,35,39,0,0,0,0,0,13,0,24,796
Greenfield,-,9,460,221,38,19,0,0,0,0,0,26,0,9,773
